set,target,L,p_at_l5,p_at_l1
casp14,T1024-D1,193,0.8947368264198303,0.5284973978996277
casp14,T1024-D2,198,0.7692307829856873,0.4747474789619446
casp14,T1025-D1,257,0.9607843160629272,0.7548637986183167
casp14,T1026-D1,146,0.17241379618644714,0.10958904027938843
casp14,T1030-D1,154,0.46666666865348816,0.20779220759868622
casp14,T1030-D2,119,0.21739129722118378,0.08403361588716507
casp14,T1031-D1,95,0.3684210479259491,0.1894736886024475
casp14,T1032-D1,170,0.3529411852359772,0.1764705926179886
casp14,T1033-D1,100,0.05000000074505806,0.12999999523162842
casp14,T1034-D1,158,0.3870967626571655,0.20253165066242218
casp14,T1036s1-D1,583,0.043103449046611786,0.07032590359449387
casp14,T1038-D1,114,0.40909090638160706,0.21929824352264404
casp14,T1038-D2,76,0.6000000238418579,0.5
casp14,T1039-D1,161,0.15625,0.11180124431848526
casp14,T1046s1-D1,72,0.3571428656578064,0.1944444477558136
casp14,T1046s2-D1,141,0.7857142686843872,0.5602836608886719
casp14,T1049-D1,139,0.2222222238779068,0.18705035746097565
casp14,T1050-D1,321,0.828125,0.6168224215507507
casp14,T1050-D2,316,0.8888888955116272,0.6740506291389465
casp14,T1050-D3,128,0.9200000166893005,0.5546875
casp14,T1054-D1,143,0.8571428656578064,0.5244755148887634
casp14,T1056-D1,169,0.7575757503509521,0.4082840383052826
casp14,T1057-D1,235,0.5106382966041565,0.3404255211353302
casp14,T1064-D1,75,0.06666667014360428,0.0533333346247673
casp14,T1067-D1,221,0.5227272510528564,0.18552036583423615
casp14,T1070-D2,101,0.30000001192092896,0.21782177686691284
casp14,T1073-D1,59,0.8181818127632141,0.4237288236618042
casp14,T1079-D1,451,0.2777777910232544,0.1818181872367859
casp14,T1082-D1,73,0.0714285746216774,0.054794520139694214
casp14,T1089-D1,373,0.8243243098258972,0.6085790991783142
casp14,T1090-D1,196,0.1794871836900711,0.08673469722270966
casp14,T1099-D1,178,0.08571428805589676,0.09550561755895615
casp15,T1104-D1,117,0.260869562625885,0.16239316761493683
casp15,T1106s1-D1,71,0.3571428656578064,0.1267605572938919
casp15,T1106s2-D1,111,0.9090909361839294,0.7567567825317383
casp15,T1109-D1,214,0.6904761791229248,0.5
casp15,T1119-D1,48,0.0,0.0
casp15,T1120-D1,118,0.17391304671764374,0.20338982343673706
casp15,T1120-D2,110,0.13636364042758942,0.06363636255264282
casp15,T1121-D1,196,0.10256410390138626,0.05612244829535484
casp15,T1121-D2,168,0.7575757503509521,0.3928571343421936
casp15,T1123-D1,214,0.095238097012043,0.0607476644217968
casp15,T1124-D1,378,0.9200000166893005,0.5767195820808411
casp15,T1129s2-D1,563,0.2053571492433548,0.10657193511724472
casp15,T1133-D1,409,0.9506173133850098,0.6919315457344055
casp15,T1137s1-D1,150,0.800000011920929,0.40666666626930237
casp15,T1137s1-D2,240,0.0,0.0
casp15,T1137s2-D1,149,0.7586206793785095,0.3959731459617615
casp15,T1137s2-D2,194,0.0,0.015463917516171932
